Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
LA PAZ,MAPIRI,2,0,1,1,-15.3097416,-68.22269542
LA PAZ,MECAPACA,74,25,5,44,-16.6668737,-68.0170101
LA PAZ,MOCOMOCO,2,0,0,2,-15.45601211,-68.9992662
LA PAZ,NAZACARA DE PACAJES,2,0,0,2,-16.92517284,-68.7817186
LA PAZ,NUESTRA SEÑORA DE LA PAZ,43129,11394,1269,30466,-16.49012775,-68.11950595
LA PAZ,PALCA,9,1,0,8,-16.56766043,-67.94668769
LA PAZ,PALOS BLANCOS,33,0,3,30,-15.58389283,-67.25212112
LA PAZ,PAPEL PAMPA,1,0,0,1,-17.82297111,-67.76793828
LA PAZ,PATACAMAYA,78,7,8,63,-17.24090388,-67.91027119
LA PAZ,PELECHUCO,3,1,0,2,-14.82336862,-69.08361671
LA PAZ,PUCARANI,30,7,1,22,-16.40492729,-68.47767613
LA PAZ,PUERTO ACOSTA,5,2,0,3,-15.53485363,-69.25279238
LA PAZ,PUERTO CARABUCO,2,0,0,2,-15.75707377,-69.0650111
LA PAZ,PUERTO PEREZ,5,2,1,2,-16.33335061,-68.65399255
LA PAZ,QUIME,22,4,1,17,-16.97614949,-67.22775015
LA PAZ,SAN ANDRES DE MACHACA         ,2,2,0,0,-16.9534017,-68.9686035
LA PAZ,SAN BUENAVENTURA,30,0,1,29,-14.44076029,-67.62270932
LA PAZ,SAN PEDRO DE TIQUINA,25,11,0,14,-16.22188658,-68.8553761
LA PAZ,SANTIAGO DE HUATA,6,3,0,3,-16.06558395,-68.87656809
LA PAZ,SANTIAGO DE MACHACA,6,2,0,4,-17.06165203,-69.21870281
LA PAZ,SAPAHAQUI,8,0,0,8,-16.89122933,-67.939192
LA PAZ,SICA SICA,12,0,3,9,-17.33256928,-67.74367384
LA PAZ,SORATA,18,1,0,17,-15.7637934,-68.63951835
LA PAZ,TACACOMA,1,0,0,1,-15.37332169,-68.51865619
LA PAZ,TEOPONTE,10,2,1,7,-15.50103959,-67.77781565
LA PAZ,TIAHUANACU,41,19,0,22,-16.55439864,-68.67845545
LA PAZ,TIPUANI,7,5,1,1,-15.56400726,-68.01909273
LA PAZ,TITO YUPANKI,4,3,0,1,-16.16396862,-68.97157346
LA PAZ,UMALA,14,0,3,11,-17.37594458,-68.02192279
LA PAZ,VIACHA,1387,373,26,988,-16.64769965,-68.29267943
LA PAZ,WALDO BALLIVIAN,5,2,0,3,-17.08415238,-68.20085844
LA PAZ,YACO,6,1,0,5,-17.156765,-67.40880323
LA PAZ,YANACACHI,83,55,1,27,-16.39821327,-67.7384691
